query,expected_answer,output,exact_match,fuzzy_match,similarity,input_tokens,output_tokens,expected_tokens,total_tokens,semantic_similarity
What's the interactions between Lepirudin and Ifosfamide?,"Ifosfamide,The risk or severity of bleeding can be increased when Ifosfamide is combined with Lepirudin.",The interactions between Lepirudin and Ifosfamide are that the risk or severity of bleeding can be increased when Ifosfamide is combined with Lepirudin.,False,True,0.8,16,38,28,54,0.9631985
What's the interactions between Lepirudin and Quinine?,The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinine.,The interaction between Lepirudin and Quinine is that the therapeutic efficacy of Lepirudin can be increased when used in combination with Quinine. This information is based on the data retrieved from the ddi table in the database.,False,False,0.57,14,50,20,64,0.88843656
What's the interactions between Lepirudin and Quinidine?,The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinidine.,The interactions between Lepirudin and Quinidine are that the therapeutic efficacy of Lepirudin can be increased when used in combination with Quinidine. This information is based on the description provided in the ddi table in the database.,False,False,0.57,15,52,21,67,0.9007729
What's the interactions between Lepirudin and Tamoxifen?,The risk or severity of bleeding can be increased when Tamoxifen is combined with Lepirudin.,"The interactions between Lepirudin and Tamoxifen are that the risk or severity of bleeding can be increased when Tamoxifen is combined with Lepirudin. Additionally, the risk or severity of bleeding and hemorrhage can also be increased when Dasatinib is combined with Lepirudin.",False,False,0.5,15,64,22,79,0.8926121
What's the interactions between Lepirudin and Toremifene?,The risk or severity of bleeding can be increased when Toremifene is combined with Lepirudin.,There are no interactions between Lepirudin and Toremifene in the ddi table.,False,False,0.46,16,21,23,37,0.6077869
What's the interactions between Lepirudin and Pentoxifylline?,The therapeutic efficacy of Lepirudin can be increased when used in combination with Pentoxifylline.,The interaction between Lepirudin and Pentoxifylline is that the therapeutic efficacy of Lepirudin can be increased when used in combination with Pentoxifylline. This information is based on the data from the ddi table in the database.,False,False,0.6,17,55,23,72,0.8918476
What's the interactions between Lepirudin and Pentosan polysulfate?,Pentosan polysulfate may increase the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Pentosan polysulfate are that Pentosan polysulfate may increase the anticoagulant activities of Lepirudin.,False,False,0.69,18,38,22,56,0.96882975
What's the interactions between Lepirudin and Levocarnitine?,The therapeutic efficacy of Lepirudin can be increased when used in combination with Levocarnitine.,The interactions between Lepirudin and Levocarnitine indicate that the therapeutic efficacy of Lepirudin can be increased when used in combination with Levocarnitine. This suggests that these two drugs may have synergistic effects when taken together.,False,False,0.57,17,54,23,71,0.953781
What's the interactions between Lepirudin and Diethylstilbestrol?,Diethylstilbestrol may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Diethylstilbestrol are that Diethylstilbestrol may decrease the anticoagulant activities of Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.49,18,55,21,73,0.8935582
What's the interactions between Lepirudin and Chlorotrianisene?,Chlorotrianisene may decrease the anticoagulant activities of Lepirudin.,Natural Language Response: The interaction between Lepirudin and Chlorotrianisene is that Chlorotrianisene may decrease the anticoagulant activities of Lepirudin.,False,False,0.62,17,40,21,57,0.8968462
What's the interactions between Lepirudin and Conjugated estrogens?,Conjugated estrogens may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Conjugated estrogens is that Conjugated estrogens may decrease the anticoagulant activities of Lepirudin. This information was retrieved from the ddi table where these two drugs are listed as interacting with each other.,False,False,0.46,18,59,21,77,0.9019272
What's the interactions between Lepirudin and Mestranol?,The risk or severity of adverse effects can be increased when Mestranol is combined with Lepirudin.,The interaction between Lepirudin and Mestranol is that the risk or severity of adverse effects can be increased when Mestranol is combined with Lepirudin. This information was obtained from the ddi table in the database.,False,False,0.62,16,52,24,68,0.91357964
What's the interactions between Lepirudin and Estrone sulfate?,Estrone sulfate may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Estrone sulfate are that Estrone sulfate may decrease the anticoagulant activities of Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.49,15,49,19,64,0.9142293
What's the interactions between Lepirudin and Quinestrol?,Quinestrol may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Quinestrol are that Quinestrol may decrease the anticoagulant activities of Lepirudin. This information is based on the description provided in the ddi table.,False,False,0.5,16,48,19,64,0.9257299
What's the interactions between Lepirudin and Hexestrol?,Hexestrol may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Hexestrol is that Hexestrol may decrease the anticoagulant activities of Lepirudin.,False,False,0.7,15,32,18,47,0.96025014
"What's the interactions between Lepirudin and Synthetic Conjugated Estrogens, A?","Synthetic Conjugated Estrogens, A may decrease the anticoagulant activities of Lepirudin.","The interaction between Lepirudin and Synthetic Conjugated Estrogens, A is that Synthetic Conjugated Estrogens, A may decrease the anticoagulant activities of Lepirudin.",False,False,0.69,21,44,25,65,0.92896104
"What's the interactions between Lepirudin and Synthetic Conjugated Estrogens, B?","Synthetic Conjugated Estrogens, B may decrease the anticoagulant activities of Lepirudin.","The interactions between Lepirudin and Synthetic Conjugated Estrogens, B are that Synthetic Conjugated Estrogens, B may decrease the anticoagulant activities of Lepirudin. This information is based on the data retrieved from the DDI table in the database.",False,False,0.52,21,61,25,82,0.9197868
What's the interactions between Lepirudin and Polyestradiol phosphate?,Polyestradiol phosphate may decrease the anticoagulant activities of Lepirudin.,"The interactions between Lepirudin and Polyestradiol phosphate are that Polyestradiol phosphate may decrease the anticoagulant activities of Lepirudin. The SQL query returned this information twice, indicating that this interaction was found in the database.",False,False,0.47,17,54,20,71,0.90120894
What's the interactions between Lepirudin and Esterified estrogens?,Esterified estrogens may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Esterified estrogens is that Esterified estrogens may decrease the anticoagulant activities of Lepirudin. This information was retrieved from the ddi table in the database.,False,False,0.53,18,51,21,69,0.9406087
What's the interactions between Lepirudin and Zeranol?,Zeranol may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Zeranol is that Zeranol may decrease the anticoagulant activities of Lepirudin. This information is based on the data from the ddi table in the database.,False,False,0.5,15,48,18,63,0.9037312
What's the interactions between Lepirudin and Equol?,Equol may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Equol is that Equol may decrease the anticoagulant activities of Lepirudin.,False,False,0.7,14,30,17,44,0.96476424
What's the interactions between Lepirudin and Methallenestril?,Methallenestril may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Methallenestril is that Methallenestril may decrease the anticoagulant activities of Lepirudin.,False,False,0.7,16,34,20,50,0.97027385
What's the interactions between Lepirudin and Epimestrol?,Epimestrol may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Epimestrol are that Epimestrol may decrease the anticoagulant activities of Lepirudin.,False,False,0.69,15,32,18,47,0.96936876
What's the interactions between Lepirudin and Moxestrol?,Moxestrol may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Moxestrol is that Moxestrol may decrease the anticoagulant activities of Lepirudin. This information was retrieved from the database query that specifically looked for interactions between these two drugs.,False,False,0.42,16,52,19,68,0.9122454
What's the interactions between Lepirudin and Estradiol acetate?,Estradiol acetate may decrease the anticoagulant activities of Lepirudin.,There are no interactions between Lepirudin and Estradiol acetate in the ddi table.,False,False,0.33,17,22,21,39,0.6661961
What's the interactions between Lepirudin and Estradiol benzoate?,Estradiol benzoate may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Estradiol benzoate are that Estradiol benzoate may decrease the anticoagulant activities of Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.49,18,55,22,73,0.88906765
What's the interactions between Lepirudin and Estradiol cypionate?,Estradiol cypionate may decrease the anticoagulant activities of Lepirudin.,Response: The interaction between Lepirudin and Estradiol cypionate is that Estradiol cypionate may decrease the anticoagulant activities of Lepirudin.,False,False,0.66,18,40,22,58,0.9619937
What's the interactions between Lepirudin and Estradiol valerate?,Estradiol valerate may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Estradiol valerate is that Estradiol valerate may decrease the anticoagulant activities of Lepirudin. This information was retrieved from the database query that was executed.,False,False,0.52,17,48,21,65,0.9339209
What's the interactions between Lepirudin and Biochanin A?,Biochanin A may decrease the anticoagulant activities of Lepirudin.,The interaction between Lepirudin and Biochanin A is that Biochanin A may decrease the anticoagulant activities of Lepirudin. This is based on the data retrieved from the ddi table in the database.,False,False,0.51,16,50,19,66,0.8731421
What's the interactions between Lepirudin and Formononetin?,Formononetin may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Formononetin involve a decrease in the anticoagulant activities of Lepirudin. This means that Formononetin may reduce the effectiveness of Lepirudin in preventing blood clots. It is important to be aware of this interaction when considering the use of these two drugs together.,False,False,0.34,16,72,19,88,0.90489227
What's the interactions between Lepirudin and Estriol?,Estriol may decrease the anticoagulant activities of Lepirudin.,The interactions between Lepirudin and Estriol are that Estriol may decrease the anticoagulant activities of Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.47,15,49,18,64,0.9104626
What's the interactions between Lepirudin and Limaprost?,The risk or severity of bleeding can be increased when Limaprost is combined with Lepirudin.,The interactions between Lepirudin and Limaprost are that Dabigatran etexilate may increase the anticoagulant activities of Lepirudin.,False,False,0.35,15,37,22,52,0.699315
What's the interactions between Lepirudin and Icosapent?,The risk or severity of bleeding and hemorrhage can be increased when Icosapent is combined with Lepirudin.,The interaction between Lepirudin and Icosapent is that the risk or severity of bleeding and hemorrhage can be increased when these two drugs are combined. This information is based on the data retrieved from the ddi table in the database.,False,False,0.51,16,51,26,67,0.914444
What's the interactions between Lepirudin and Mesalazine?,The risk or severity of bleeding can be increased when Mesalazine is combined with Lepirudin.,The interaction between Lepirudin and Mesalazine is that the risk or severity of bleeding can be increased when Mesalazine is combined with Lepirudin.,False,False,0.77,15,36,22,51,0.9544052
What's the interactions between Lepirudin and Indomethacin?,The risk or severity of bleeding and hemorrhage can be increased when Indomethacin is combined with Lepirudin.,The interaction between Lepirudin and Indomethacin is that the risk or severity of bleeding and hemorrhage can be increased when Indomethacin is combined with Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.61,16,58,26,74,0.9092508
What's the interactions between Lepirudin and Nabumetone?,The risk or severity of bleeding and hemorrhage can be increased when Nabumetone is combined with Lepirudin.,The interactions between Lepirudin and Nabumetone are that the risk or severity of bleeding and hemorrhage can be increased when the two drugs are combined. This information is based on the description provided in the ddi table.,False,False,0.54,16,48,26,64,0.9180776
What's the interactions between Lepirudin and Ketorolac?,The risk or severity of bleeding and hemorrhage can be increased when Ketorolac is combined with Lepirudin.,The interactions between Lepirudin and Ketorolac are not found in the ddi table.,False,False,0.4,16,22,26,38,0.6254823
What's the interactions between Lepirudin and Tenoxicam?,The risk or severity of bleeding and hemorrhage can be increased when Tenoxicam is combined with Lepirudin.,"The interactions between Lepirudin and Tenoxicam are that the risk or severity of bleeding and hemorrhage can be increased when Tenoxicam is combined with Lepirudin. This information is supported by the data in the ddi table, where both drugs are listed as interacting with each other due to this potential risk.",False,False,0.51,15,68,25,83,0.9128249
What's the interactions between Lepirudin and Celecoxib?,The risk or severity of bleeding and hemorrhage can be increased when Celecoxib is combined with Lepirudin.,The interaction between Lepirudin and Celecoxib is that the risk or severity of bleeding and hemorrhage can be increased when the two drugs are combined. This information is based on the data from the ddi table in the database.,False,False,0.53,15,49,25,64,0.92422193
What's the interactions between Lepirudin and Tolmetin?,The risk or severity of bleeding and hemorrhage can be increased when Tolmetin is combined with Lepirudin.,The interactions between Lepirudin and Tolmetin are that the risk or severity of bleeding and hemorrhage can be increased when Tolmetin is combined with Lepirudin. This information is based on the data retrieved from the DDI table in the database.,False,False,0.6,15,56,25,71,0.88954306
What's the interactions between Lepirudin and Rofecoxib?,The risk or severity of bleeding and hemorrhage can be increased when Rofecoxib is combined with Lepirudin.,The interaction between Lepirudin and Rofecoxib is that the risk or severity of bleeding and hemorrhage can be increased when the two drugs are combined. This information is based on the data from the ddi table in the database.,False,False,0.53,17,51,27,68,0.92186767
What's the interactions between Lepirudin and Piroxicam?,The risk or severity of bleeding and hemorrhage can be increased when Piroxicam is combined with Lepirudin.,The interaction between Lepirudin and Piroxicam is that the risk or severity of bleeding and hemorrhage can be increased when these two drugs are combined.,False,False,0.62,16,34,26,50,0.95631945
What's the interactions between Lepirudin and Fenoprofen?,The risk or severity of bleeding and hemorrhage can be increased when Fenoprofen is combined with Lepirudin.,The interaction between Lepirudin and Fenoprofen is that the risk or severity of bleeding and hemorrhage can be increased when Fenoprofen is combined with Lepirudin.,False,False,0.79,15,39,25,54,0.9544637
What's the interactions between Lepirudin and Valdecoxib?,The risk or severity of bleeding and hemorrhage can be increased when Valdecoxib is combined with Lepirudin.,"Based on the provided SQL query and response, the interactions between Lepirudin and Valdecoxib are that the combination of these two drugs can increase the risk or severity of bleeding and hemorrhage. Therefore, caution should be exercised when using Lepirudin and Valdecoxib together.",False,False,0.42,16,62,26,78,0.90573406
What's the interactions between Lepirudin and Diclofenac?,The risk or severity of bleeding and hemorrhage can be increased when Diclofenac is combined with Lepirudin.,The interaction between Lepirudin and Diclofenac is that the risk or severity of bleeding and hemorrhage can be increased when Diclofenac is combined with Lepirudin.,False,False,0.79,17,43,27,60,0.94015586
What's the interactions between Lepirudin and Sulindac?,The risk or severity of bleeding and hemorrhage can be increased when Sulindac is combined with Lepirudin.,The interaction between Lepirudin and Sulindac is that the risk or severity of bleeding and hemorrhage can be increased when Sulindac is combined with Lepirudin.,False,False,0.79,15,39,25,54,0.9444568
What's the interactions between Lepirudin and Flurbiprofen?,The risk or severity of bleeding and hemorrhage can be increased when Flurbiprofen is combined with Lepirudin.,The interaction between Lepirudin and Flurbiprofen is that the risk or severity of bleeding and hemorrhage can be increased when either of these drugs is combined with the other.,False,False,0.67,16,38,26,54,0.95870817
What's the interactions between Lepirudin and Etodolac?,The risk or severity of bleeding and hemorrhage can be increased when Etodolac is combined with Lepirudin.,The interaction between Lepirudin and Etodolac is that the risk or severity of bleeding and hemorrhage can be increased when they are combined. This information is based on the data retrieved from the ddi table in the database.,False,False,0.53,16,49,26,65,0.9043628
What's the interactions between Lepirudin and Mefenamic acid?,The risk or severity of bleeding and hemorrhage can be increased when Mefenamic acid is combined with Lepirudin.,The interactions between Lepirudin and Mefenamic acid are that the risk or severity of bleeding and hemorrhage can be increased when Mefenamic acid is combined with Lepirudin.,False,False,0.78,17,43,27,60,0.9404857
What's the interactions between Lepirudin and Naproxen?,The risk or severity of bleeding and hemorrhage can be increased when Naproxen is combined with Lepirudin.,The interaction between Lepirudin and Naproxen is that the risk or severity of bleeding and hemorrhage can be increased when they are combined.,False,False,0.66,15,31,25,46,0.95885396
What's the interactions between Lepirudin and Sulfasalazine?,The risk or severity of bleeding and hemorrhage can be increased when Sulfasalazine is combined with Lepirudin.,The interactions between Lepirudin and Sulfasalazine have been identified in the database. The description states that the risk or severity of bleeding and hemorrhage can be increased when Sulfasalazine is combined with Lepirudin. This information indicates a potentially dangerous interaction between the two drugs that should be monitored closely.,False,False,0.48,17,69,27,86,0.93153006
What's the interactions between Lepirudin and Phenylbutazone?,The risk or severity of bleeding and hemorrhage can be increased when Phenylbutazone is combined with Lepirudin.,"The interactions between Lepirudin and Phenylbutazone are that when combined, there is an increased risk or severity of bleeding and hemorrhage. This information is based on the description in the ddi table.",False,False,0.42,17,45,27,62,0.9247976
What's the interactions between Lepirudin and Meloxicam?,The risk or severity of bleeding and hemorrhage can be increased when Meloxicam is combined with Lepirudin.,The interaction between Lepirudin and Meloxicam is that the risk or severity of bleeding and hemorrhage can be increased when Meloxicam is combined with Lepirudin.,False,False,0.79,15,39,25,54,0.9472484
What's the interactions between Lepirudin and Carprofen?,The risk or severity of bleeding and hemorrhage can be increased when Carprofen is combined with Lepirudin.,The interaction between Lepirudin and Carprofen is that the risk or severity of bleeding and hemorrhage can be increased when Carprofen is combined with Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.6,15,56,25,71,0.9243669
What's the interactions between Lepirudin and Diflunisal?,The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Lepirudin.,The interactions between Lepirudin and Diflunisal are that the risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Lepirudin.,False,False,0.79,18,45,28,63,0.95432997
What's the interactions between Lepirudin and Salicylic acid?,The risk or severity of bleeding and hemorrhage can be increased when Salicylic acid is combined with Lepirudin.,The interaction between Lepirudin and Salicylic acid is that the risk or severity of bleeding and hemorrhage can be increased when Salicylic acid is combined with Lepirudin. This information is based on the data from the ddi table in the database.,False,False,0.62,16,57,26,73,0.91220176
What's the interactions between Lepirudin and Meclofenamic acid?,The risk or severity of bleeding and hemorrhage can be increased when Meclofenamic acid is combined with Lepirudin.,The interaction between Lepirudin and Meclofenamic acid is that the risk or severity of bleeding and hemorrhage can be increased when Meclofenamic acid is combined with Lepirudin. This information is based on the data retrieved from the ddi table in the database.,False,False,0.61,18,62,28,80,0.9056299
What's the interactions between Lepirudin and Oxaprozin?,The risk or severity of bleeding and hemorrhage can be increased when Oxaprozin is combined with Lepirudin.,The interaction between Lepirudin and Oxaprozin (DB01105) is that the risk or severity of hemorrhage can be increased when they are combined.,False,False,0.55,15,34,25,49,0.84485126
What's the interactions between Lepirudin and Ketoprofen?,The risk or severity of bleeding and hemorrhage can be increased when Ketoprofen is combined with Lepirudin.,The interactions between Lepirudin and Ketoprofen are that the risk or severity of bleeding and hemorrhage can be increased when Ketoprofen is combined with Lepirudin.,False,False,0.79,15,39,25,54,0.95311254
What's the interactions between Lepirudin and Balsalazide?,The risk or severity of bleeding and hemorrhage can be increased when Balsalazide is combined with Lepirudin.,There are no interactions between Lepirudin (DB00001) and Balsalazide (DB01100) in the DDI table.,False,False,0.42,17,32,27,49,0.5864121
What's the interactions between Lepirudin and Olsalazine?,The risk or severity of bleeding can be increased when Olsalazine is combined with Lepirudin.,The interactions between Lepirudin and Olsalazine are that the risk or severity of bleeding can be increased when Olsalazine is combined with Lepirudin. This information is based on the data from the DDI table.,False,False,0.61,16,51,23,67,0.89155823
What's the interactions between Lepirudin and Lumiracoxib?,The risk or severity of bleeding and hemorrhage can be increased when Lumiracoxib is combined with Lepirudin.,The interactions between Lepirudin and Lumiracoxib are that the combination of these two drugs can increase the risk or severity of bleeding and hemorrhage. This information was retrieved from the ddi table in the database.,False,False,0.37,17,47,27,64,0.93300724
What's the interactions between Lepirudin and Magnesium salicylate?,The risk or severity of bleeding and hemorrhage can be increased when Magnesium salicylate is combined with Lepirudin.,The interactions between Lepirudin and Magnesium salicylate involve an increased risk or severity of bleeding and hemorrhage when the two drugs are combined.,False,False,0.49,17,32,27,49,0.9559679
What's the interactions between Lepirudin and Salsalate?,The risk or severity of bleeding and hemorrhage can be increased when Salsalate is combined with Lepirudin.,The interaction between Lepirudin and Salsalate is that the risk or severity of bleeding and hemorrhage can be increased when they are combined. This information is based on the data from the ddi table where Lepirudin and Salsalate are listed as interacting drugs with this specific description.,False,False,0.48,16,65,26,81,0.92186534
